ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,EMPLOYED_SPECIAL_VALUE,EMPLOYED_YEARS,TARGET_BAD,LOG_INCOME
5008838,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.4,0,5.5,0,12.91164481522143
5008839,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.4,0,5.5,0,12.91164481522143
5008840,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.4,0,5.5,0,12.91164481522143
5008841,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.4,0,5.5,0,12.91164481522143
5008842,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.4,0,5.5,0,12.91164481522143
5008843,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.4,0,5.5,0,12.91164481522143
5008844,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008846,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008847,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008849,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008850,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008851,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008852,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008853,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,56.2,0,12.2,0,11.630717389475995
5008854,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008855,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008856,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008857,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008858,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008859,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008860,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008861,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008862,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008863,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008864,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008865,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008866,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008867,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5112846,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,43.2,0,8.7,0,11.813037464800539
5008868,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Core staff,3.0,44.4,0,19.4,0,12.261985005589679
5008870,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Core staff,3.0,44.4,0,19.4,0,12.261985005589679
5008872,M,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Security staff,2.0,45.7,0,14.7,0,12.793862088206213
5008873,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008874,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008875,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008876,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008877,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008878,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008879,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008880,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008881,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008882,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,4.0,34.0,0,4.9,0,11.744045122410057
5008884,F,0,1,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,Unknown,1.0,55.3,1,-1.0,0,12.660331092405906
5008888,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,Core staff,1.0,46.6,0,3.7,0,12.419169901386761
5008889,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,Core staff,1.0,46.6,0,3.7,0,12.419169901386761
5008890,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,Core staff,1.0,46.6,0,3.7,0,12.419169901386761
5112847,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,Core staff,1.0,46.6,0,3.7,0,12.419169901386761
5008891,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008892,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008893,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008894,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008895,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008896,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008897,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008898,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008899,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008900,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008901,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008902,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008903,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008904,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008905,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008906,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008907,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008908,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008909,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008910,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008911,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008912,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008913,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008914,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008915,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008916,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008917,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008918,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008919,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008920,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008921,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008922,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008923,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008924,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008925,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008926,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008927,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008928,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008929,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008930,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008931,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008932,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008933,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008934,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008935,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008936,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008937,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008938,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008939,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008940,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008941,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Laborers,1.0,42.5,0,8.9,0,12.601490784782536
5008942,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2.0,37.4,0,13.3,0,11.967187086434018
5008943,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2.0,37.4,0,13.3,0,11.967187086434018
5008944,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2.0,37.4,0,13.3,0,11.967187086434018
5008945,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2.0,37.4,0,13.3,0,11.967187086434018
5008946,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2.0,37.4,0,13.3,0,11.967187086434018
5008947,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2.0,42.4,0,3.9,0,11.813037464800539
5008948,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2.0,42.4,0,3.9,0,11.813037464800539
5008949,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2.0,42.4,0,3.9,0,11.813037464800539
5008950,M,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2.0,42.4,0,3.9,0,11.813037464800539
5008951,M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,3.0,28.3,0,7.7,0,12.323860125621126
5008952,M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,3.0,28.3,0,7.7,0,12.323860125621126
5008953,M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,3.0,28.3,0,7.7,0,12.323860125621126
5008954,M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,3.0,28.3,0,7.7,0,12.323860125621126
5008955,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008956,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008957,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008958,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008959,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008960,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008962,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008963,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.7,0,4.7,0,11.813037464800539
5008966,M,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,2.0,43.9,0,2.4,0,11.967187086434018
5008967,M,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,2.0,43.9,0,2.4,0,11.967187086434018
5008971,M,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,2.0,43.9,0,2.4,0,11.967187086434018
5008973,M,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Unknown,2.0,43.9,0,2.4,0,11.967187086434018
5008974,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008975,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008976,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008977,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008978,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008979,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008980,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Unknown,2.0,61.1,1,-1.0,0,11.630717389475995
5008981,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,57.2,0,6.5,0,11.630717389475995
5008983,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,57.2,0,6.5,0,11.630717389475995
5008984,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,57.2,0,6.5,0,11.630717389475995
5008986,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,57.2,0,6.5,0,11.630717389475995
5008987,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,57.2,0,6.5,0,11.630717389475995
5008988,M,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2.0,57.2,0,6.5,0,11.630717389475995
5008991,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1.0,45.4,0,3.3,0,12.506180941677357
5008992,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1.0,45.4,0,3.3,0,12.506180941677357
5008993,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1.0,45.4,0,3.3,0,12.506180941677357
5008994,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1.0,45.4,0,3.3,0,12.506180941677357
5008995,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1.0,45.4,0,3.3,0,12.506180941677357
5112861,F,1,1,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Cleaning staff,1.0,45.4,0,3.3,0,12.506180941677357
5008998,F,1,1,0,270000.0,Working,Higher education,Married,House / apartment,0,0,1,Managers,2.0,29.1,0,2.3,0,12.506180941677357
5008999,F,1,1,0,270000.0,Working,Higher education,Married,House / apartment,0,0,1,Managers,2.0,29.1,0,2.3,0,12.506180941677357
5009000,M,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,27.2,0,2.3,0,11.967187086434018
5009001,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2.0,51.9,0,17.2,0,12.022756594390605
5009002,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2.0,51.9,0,17.2,0,12.022756594390605
5009005,M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2.0,51.9,0,17.2,0,12.022756594390605
